Target	UniProt.Name	Comp.1	Comp.2	Comp.3	Comp.4	Comp.5
Q9UNQ0	ATP-binding cassette sub-family G member 2	0.352	0.34	0.226	0.244	0.314
P09917	Arachidonate 5-lipoxygenase	0.35	0.258	0.422	0.42	0.306
P55211	Caspase-9	0.346	0.476	0.18	0.4	0.254
P07948	Tyrosine-protein kinase Lyn	0.344	0.17	0.034	0.074	0.018
P08311	Cathepsin G	0.344	0.49	0.466	0.37	0.396
P45984	Mitogen-activated protein kinase 9	0.342	0.3	0.11	0.184	0.052
P43119	Prostacyclin receptor	0.34	0.398	0.34	0.402	0.25
Q9HC16	DNA dC->dU-editing enzyme APOBEC-3G	0.34	0.382	0.414	0.346	0.304
P27338	Amine oxidase [flavin-containing] B	0.336	0.344	0.514	0.366	0.596
P56524	Histone deacetylase 4	0.336	0.522	0.356	0.298	0.166
Q16790	Carbonic anhydrase 9	0.336	0.246	0.45	0.764	0.648
Q8T6T2	Inosine-5'-monophosphate dehydrogenase	0.336	0.21	0.134	0.248	0.256
P08631	Tyrosine-protein kinase HCK	0.334	0.122	0.08	0.11	0.056
P05364	Beta-lactamase	0.332	0.298	0.536	0.366	0.61
P07333	Macrophage colony-stimulating factor 1 receptor	0.33	0.162	0.028	0.106	0.014
P09619	Platelet-derived growth factor receptor beta	0.328	0.2	0.086	0.342	0.15
P28482	Mitogen-activated protein kinase 1	0.328	0.34	0.2	0.25	0.166
P08913	Alpha-2A adrenergic receptor	0.326	0.252	0.14	0.312	0.444
P25779	Cruzipain	0.324	0.308	0.224	0.184	0.09
P47900	P2Y purinoceptor 1	0.324	0.196	0.198	0.136	0.198
P00517	cAMP-dependent protein kinase catalytic subunit alpha	0.322	0.544	0.286	0.284	0.224
P04049	RAF proto-oncogene serine/threonine-protein kinase	0.322	0.186	0.024	0.266	0.074
P08581	Hepatocyte growth factor receptor	0.322	0.28	0.066	0.222	0.064
Q6V1X1	Dipeptidyl peptidase 8	0.322	0.496	0.38	0.368	0.29
P51812	Ribosomal protein S6 kinase alpha-3	0.32	0.376	0.284	0.424	0.47
O42713	Polyphenol oxidase 2	0.312	0.418	0.374	0.438	0.18
P22303	Acetylcholinesterase	0.308	0.272	0.196	0.33	0.55
Q13464	Rho-associated protein kinase 1	0.304	0.184	0.032	0.272	0.044
P18089	Alpha-2B adrenergic receptor	0.302	0.34	0.244	0.414	0.54
P00735	Prothrombin	0.3	0.276	0.416	0.27	0.336
P41143	Delta-type opioid receptor	0.3	0.3	0.26	0.208	0.262
P04054	Phospholipase A2	0.298	0.444	0.354	0.358	0.322
P22086	Alpha-2C adrenergic receptor	0.296	0.33	0.256	0.304	0.61
P35218	Carbonic anhydrase 5A, mitochondrial	0.292	0.322	0.428	0.532	0.39
P43088	Prostaglandin F2-alpha receptor	0.292	0.218	0.604	0.34	0.288
Q02763	Angiopoietin-1 receptor	0.292	0.256	0.066	0.19	0.068
P43166	Carbonic anhydrase 7	0.29	0.27	0.508	0.734	0.846
Q9Y233	cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A	0.29	0.172	0.014	0.206	0.004
P07858	Cathepsin B	0.286	0.314	0.414	0.206	0.168
P15917	Lethal factor	0.284	0.398	0.56	0.24	0.366
O60240	Perilipin-1	0.282	0.33	0.724	0.366	0.524
P07943	Aldose reductase	0.282	0.368	0.098	0.394	0.086
P05622	Platelet-derived growth factor receptor beta	0.276	0.182	0.19	0.314	0.142
P07900	Heat shock protein HSP 90-alpha	0.274	0.448	0.588	0.2	0.24
P03372	Estrogen receptor	0.272	0.206	0.506	0.402	0.784
P18031	Tyrosine-protein phosphatase non-receptor type 1	0.27	0.404	0.308	0.274	0.06
P23280	Carbonic anhydrase 6	0.27	0.37	0.444	0.6	0.358
Q6B856	Tubulin beta-2B chain	0.27	0.21	0.246	0.24	0.244
P11362	Fibroblast growth factor receptor 1	0.268	0.144	0.034	0.092	0.044
P41235	Hepatocyte nuclear factor 4-alpha	0.268	0.416	0.464	0.37	0.416
P55212	Caspase-6	0.268	0.322	0.284	0.264	0.256
O00311	Cell division cycle 7-related protein kinase	0.266	0.246	0.078	0.228	0.154
P35236	Tyrosine-protein phosphatase non-receptor type 7	0.266	0.394	0.066	0.302	0.086
P23141	Liver carboxylesterase 1	0.264	0.49	0.546	0.352	0.23
P23443	Ribosomal protein S6 kinase beta-1	0.264	0.45	0.21	0.348	0.208
Q9H3N8	Histamine H4 receptor	0.264	0.372	0.03	0.236	0.142
O60674	Tyrosine-protein kinase JAK2	0.262	0.216	0.132	0.224	0.072
P08173	Muscarinic acetylcholine receptor M4	0.258	0.266	0.432	0.268	0.406
P21918	D(1B) dopamine receptor	0.258	0.412	0.244	0.442	0.404
Q9ULX7	Carbonic anhydrase 14	0.256	0.234	0.518	0.682	0.548
Q8N1Q1	Carbonic anhydrase 13	0.254	0.374	0.558	0.764	0.59
P50130	D(1A) dopamine receptor	0.252	0.272	0.252	0.178	0.296
P30729	D(4) dopamine receptor	0.248	0.22	0.148	0.216	0.268
P10827	Thyroid hormone receptor alpha	0.244	0.168	0.192	0.286	0.258
P23385	Metabotropic glutamate receptor 1	0.244	0.218	0.024	0.262	0.068
P53350	Serine/threonine-protein kinase PLK1	0.244	0.31	0.21	0.234	0.084
P22748	Carbonic anhydrase 4	0.242	0.248	0.754	0.708	0.42
P35557	Glucokinase	0.242	0.112	0.044	0.126	0.038
Q9Y2D0	Carbonic anhydrase 5B, mitochondrial	0.242	0.282	0.522	0.656	0.476
P35354	Prostaglandin G/H synthase 2	0.24	0.282	0.402	0.288	0.438
O00408	cGMP-dependent 3',5'-cyclic phosphodiesterase	0.236	0.258	0.248	0.236	0.092
P16581	E-selectin	0.236	0.298	0.07	0.344	0.088
P35228	Nitric oxide synthase, inducible	0.236	0.156	0.254	0.292	0.29
Q99500	Sphingosine 1-phosphate receptor 3	0.236	0.326	0.302	0.184	0.192
P08183	Multidrug resistance protein 1	0.234	0.26	0.382	0.312	0.17
Q9HAZ1	Dual specificity protein kinase CLK4	0.234	0.252	0.218	0.228	0.122
P26358	DNA (cytosine-5)-methyltransferase 1	0.232	0.522	0.558	0.458	0.32
Q00G26	Perilipin-5	0.232	0.386	0.814	0.418	0.67
Q07820	Induced myeloid leukemia cell differentiation protein Mcl-1	0.23	0.364	0.276	0.326	0.23
P04818	Thymidylate synthase	0.228	0.19	0.196	0.212	0.27
P01375	Tumor necrosis factor	0.226	0.334	0.29	0.338	0.144
P11511	Aromatase	0.226	0.544	0.606	0.336	0.438
P31751	RAC-beta serine/threonine-protein kinase	0.226	0.142	0.048	0.096	0.134
Q3KRE8	Tubulin beta-2B chain	0.226	0.27	0.25	0.27	0.282
P09960	Leukotriene A-4 hydrolase	0.224	0.078	0.234	0.346	0.07
O43613	Orexin receptor type 1	0.222	0.36	0.084	0.298	0.082
Q9UM73	ALK tyrosine kinase receptor	0.222	0.118	0.052	0.042	0.026
Q9UKP6	Urotensin-2 receptor	0.218	0.098	0.07	0.146	0.088
Q07912	Activated CDC42 kinase 1	0.216	0.142	0.052	0.052	0.014
O42275	Acetylcholinesterase	0.212	0.316	0.27	0.282	0.296
P08069	Insulin-like growth factor 1 receptor	0.212	0.174	0.128	0.276	0.318
P00749	Urokinase-type plasminogen activator	0.21	0.168	0.162	0.234	0.148
P08575	Receptor-type tyrosine-protein phosphatase C	0.21	0.366	0.22	0.228	0.21
P23944	Alpha-1D adrenergic receptor	0.21	0.228	0.072	0.214	0.052
P35353	Corticotropin-releasing factor receptor 1	0.21	0.05	0.02	0.07	0.018
P78396	Cyclin-A1	0.208	0.338	0.182	0.142	0.096
P81908	Cholinesterase	0.206	0.156	0.062	0.186	0.068
P18130	Alpha-1A adrenergic receptor	0.202	0.206	0.15	0.266	0.294
P04629	High affinity nerve growth factor receptor	0.2	0.216	0.06	0.184	0.022
P49759	Dual specificity protein kinase CLK1	0.2	0.426	0.294	0.37	0.274
Q08499	cAMP-specific 3',5'-cyclic phosphodiesterase 4D	0.198	0.292	0.214	0.186	0.078
O95977	Sphingosine 1-phosphate receptor 4	0.196	0.356	0.238	0.356	0.206
P10415	Apoptosis regulator Bcl-2	0.196	0.216	0.114	0.232	0.12
P41279	Mitogen-activated protein kinase kinase kinase 8	0.194	0.206	0.098	0.184	0.138
P43403	Tyrosine-protein kinase ZAP-70	0.194	0.236	0.204	0.158	0.134
P46098	5-hydroxytryptamine receptor 3A	0.194	0.246	0.208	0.186	0.146
Q8TDU6	G-protein coupled bile acid receptor 1	0.194	0.234	0.268	0.222	0.262
O00763	Acetyl-CoA carboxylase 2	0.192	0.082	0.106	0.122	0.006
P06239	Tyrosine-protein kinase Lck	0.192	0.154	0.1	0.168	0.106
P42336	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform	0.192	0.24	0.068	0.114	0
P42574	Caspase-3	0.192	0.182	0.138	0.154	0.028
P00766	Chymotrypsinogen A	0.19	0.218	0.332	0.312	0.162
P05067	Amyloid beta A4 protein	0.19	0.258	0.406	0.456	0.802
P49840	Glycogen synthase kinase-3 alpha	0.19	0.262	0.072	0.126	0.112
P97612	Fatty-acid amide hydrolase 1	0.19	0.214	0.356	0.346	0.636
Q9QYJ6	cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A	0.19	0.088	0.006	0.134	0.004
P28190	Adenosine receptor A1	0.188	0.188	0.008	0.06	0.002
P43405	Tyrosine-protein kinase SYK	0.188	0.18	0.054	0.182	0.02
Q16539	Mitogen-activated protein kinase 14	0.188	0.206	0.014	0.062	0.002
P08912	Muscarinic acetylcholine receptor M5	0.186	0.214	0.364	0.148	0.226
P20648	Potassium-transporting ATPase alpha chain 1	0.186	0.248	0.134	0.318	0.084
P47936	Cannabinoid receptor 2	0.184	0.258	0.706	0.3	0.454
P34913	Bifunctional epoxide hydrolase 2	0.182	0.116	0.076	0.112	0.032
Q15858	Sodium channel protein type 9 subunit alpha	0.182	0.12	0.036	0.1	0.03
Q9H228	Sphingosine 1-phosphate receptor 5	0.182	0.266	0.09	0.07	0.034
P19099	Cytochrome P450 11B2, mitochondrial	0.18	0.552	0.036	0.342	0.088
P24941	Cyclin-dependent kinase 2	0.18	0.1	0.01	0.026	0.002
P51685	C-C chemokine receptor type 8	0.18	0.124	0.056	0.168	0.07
Q494W8	CHRNA7-FAM7A fusion protein	0.178	0.24	0.128	0.268	0.358
P37058	Testosterone 17-beta-dehydrogenase 3	0.176	0.148	0.552	0.17	0.262
P23458	Tyrosine-protein kinase JAK1	0.174	0.216	0.078	0.176	0.082
Q06187	Tyrosine-protein kinase BTK	0.174	0.24	0.136	0.21	0.1
P07308	Acyl-CoA desaturase 1	0.172	0.39	0.074	0.17	0.02
P23795	Acetylcholinesterase	0.172	0.234	0.244	0.194	0.2
P35439	Glutamate receptor ionotropic, NMDA 1	0.172	0.24	0.256	0.212	0.206
P43140	Alpha-1A adrenergic receptor	0.172	0.152	0.05	0.104	0.056
O43570	Carbonic anhydrase 12	0.17	0.304	0.426	0.788	0.83
O96020	G1/S-specific cyclin-E2	0.17	0.106	0.042	0.06	0.022
P36544	Neuronal acetylcholine receptor subunit alpha-7	0.168	0.234	0.244	0.294	0.422
Q9UBN7	Histone deacetylase 6	0.168	0.336	0.298	0.242	0.21
O00767	Acyl-CoA desaturase	0.166	0.3	0.06	0.17	0.058
P52732	Kinesin-like protein KIF11	0.166	0.236	0.174	0.382	0.546
P09483	Neuronal acetylcholine receptor subunit alpha-4	0.164	0.192	0.258	0.24	0.154
P21980	Protein-glutamine gamma-glutamyltransferase 2	0.164	0.288	0.274	0.142	0.174
Q923Y8	Trace amine-associated receptor 1	0.164	0.13	0.08	0.158	0.356
O95180	Voltage-dependent T-type calcium channel subunit alpha-1H	0.162	0.3	0.076	0.266	0.076
P11387	DNA topoisomerase 1	0.162	0.134	0.088	0.134	0.102
P12268	Inosine-5'-monophosphate dehydrogenase 2	0.162	0.212	0.114	0.272	0.166
Q13946	High affinity cAMP-specific 3',5'-cyclic phosphodiesterase 7A	0.162	0.118	0.118	0.15	0.192
O14842	Free fatty acid receptor 1	0.16	0.104	0.238	0.11	0.21
P07711	Cathepsin L1	0.16	0.134	0.19	0.106	0.044
P08483	Muscarinic acetylcholine receptor M3	0.16	0.296	0.364	0.172	0.282
Q99685	Monoglyceride lipase	0.16	0.36	0.34	0.208	0.154
P16753	Capsid scaffolding protein	0.158	0.154	0.116	0.144	0.084
P31749	RAC-alpha serine/threonine-protein kinase	0.158	0.198	0.054	0.104	0.04
P00374	Dihydrofolate reductase	0.156	0.12	0.032	0.074	0
P00918	Carbonic anhydrase 2	0.156	0.348	0.178	0.654	0.484
Q07343	cAMP-specific 3',5'-cyclic phosphodiesterase 4B	0.156	0.2	0.092	0.208	0.022
O96017	Serine/threonine-protein kinase Chk2	0.152	0.236	0.16	0.154	0.088
P16184	Dihydrofolate reductase	0.152	0.036	0.032	0.092	0.03
P25929	Neuropeptide Y receptor type 1	0.152	0.292	0.084	0.156	0.062
P21453	Sphingosine 1-phosphate receptor 1	0.15	0.394	0.208	0.288	0.03
P47898	5-hydroxytryptamine receptor 5A	0.15	0.238	0.28	0.264	0.1
Q8TDV5	Glucose-dependent insulinotropic receptor	0.148	0.128	0.08	0.09	0.01
Q9GZU7	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1	0.148	0.414	0.476	0.368	0.34
P00491	Purine nucleoside phosphorylase	0.146	0.102	0.056	0.13	0.046
Q07817	Bcl-2-like protein 1	0.146	0.174	0.034	0.072	0.034
Q92769	Histone deacetylase 2	0.146	0.272	0.256	0.092	0.148
Q9BY41	Histone deacetylase 8	0.146	0.198	0.098	0.118	0.174
P14061	Estradiol 17-beta-dehydrogenase 1	0.144	0.11	0.054	0.212	0.338
P14555	Phospholipase A2, membrane associated	0.144	0.108	0.554	0.15	0.044
P25021	Histamine H2 receptor	0.144	0.28	0.13	0.166	0.074
P13922	Bifunctional dihydrofolate reductase-thymidylate synthase	0.142	0.194	0.122	0.134	0.05
P48145	Neuropeptides B/W receptor type 1	0.142	0.144	0.156	0.108	0.14
P49146	Neuropeptide Y receptor type 2	0.142	0.288	0.052	0.136	0.086
P00915	Carbonic anhydrase 1	0.14	0.232	0.246	0.66	0.534
P06493	Cyclin-dependent kinase 1	0.14	0.17	0.026	0.146	0.022
Q9QZN9	Cannabinoid receptor 2	0.14	0.284	0.7	0.28	0.19
P15538	Cytochrome P450 11B1, mitochondrial	0.138	0.628	0.026	0.252	0.066
P50613	Cyclin-dependent kinase 7	0.138	0.272	0.256	0.26	0.134
P14780	Matrix metalloproteinase-9	0.136	0.146	0.118	0.21	0.436
Q00975	Voltage-dependent N-type calcium channel subunit alpha-1B	0.136	0.268	0.398	0.194	0.174
P10828	Thyroid hormone receptor beta	0.134	0.112	0.136	0.156	0.104
P12527	Arachidonate 5-lipoxygenase	0.134	0.294	0.18	0.312	0.158
P29475	Nitric oxide synthase, brain	0.134	0.172	0.114	0.154	0.128
P48039	Melatonin receptor type 1A	0.134	0.08	0.034	0.138	0.15
P49286	Melatonin receptor type 1B	0.134	0.108	0.042	0.156	0.206
P10275	Androgen receptor	0.132	0.162	0.452	0.272	0.3
P31388	5-hydroxytryptamine receptor 6	0.132	0.15	0.054	0.136	0.068
P39900	Macrophage metalloelastase	0.132	0.232	0.274	0.166	0.118
Q05941	Neuronal acetylcholine receptor subunit alpha-7	0.132	0.17	0.216	0.148	0.052
Q920D2	Dihydrofolate reductase	0.132	0.046	0.046	0.038	0.004
P13866	Sodium/glucose cotransporter 1	0.13	0.142	0.284	0.134	0.076
P25099	Adenosine receptor A1	0.13	0.198	0.138	0.11	0.052
P31390	Histamine H1 receptor	0.13	0.314	0.112	0.202	0.136
P42330	Aldo-keto reductase family 1 member C3	0.13	0.29	0.33	0.11	0.038
P42345	Serine/threonine-protein kinase mTOR	0.13	0.11	0.05	0.088	0.024
P14324	Farnesyl pyrophosphate synthase	0.128	0.2	0.132	0.138	0.096
P35367	Histamine H1 receptor	0.128	0.256	0.086	0.122	0.106
P61073	C-X-C chemokine receptor type 4	0.128	0.252	0.076	0.164	0.19
Q60492	Sigma non-opioid intracellular receptor 1	0.128	0.102	0.16	0.106	0.202
P10980	Muscarinic acetylcholine receptor M2	0.126	0.216	0.36	0.188	0.238
Q15759	Mitogen-activated protein kinase 11	0.126	0.382	0.18	0.256	0.172
O00329	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform	0.124	0.148	0.036	0.236	0.002
P08588	Beta-1 adrenergic receptor	0.124	0.052	0.028	0.076	0.018
P31389	Histamine H1 receptor	0.124	0.346	0.074	0.166	0.148
P42262	Glutamate receptor 2	0.124	0.408	0.264	0.206	0.192
Q13639	5-hydroxytryptamine receptor 4	0.124	0.064	0.086	0.144	0.054
Q9NWZ3	Interleukin-1 receptor-associated kinase 4	0.124	0.23	0.11	0.16	0.036
O00519	Fatty-acid amide hydrolase 1	0.122	0.21	0.544	0.132	0.094
P13726	Tissue factor	0.122	0.184	0.084	0.158	0.112
P18901	D(1A) dopamine receptor	0.122	0.186	0.066	0.158	0.198
Q01959	Sodium-dependent dopamine transporter	0.122	0.198	0.34	0.172	0.342
Q02750	Dual specificity mitogen-activated protein kinase kinase 1	0.122	0.206	0.062	0.176	0.034
O15530	3-phosphoinositide-dependent protein kinase 1	0.12	0.098	0.06	0.092	0.024
P15207	Androgen receptor	0.12	0.148	0.532	0.182	0.108
P37136	Acetylcholinesterase	0.116	0.288	0.158	0.22	0.204
O96013	Serine/threonine-protein kinase PAK 4	0.114	0.324	0.34	0.188	0.112
P00797	Renin	0.114	0.128	0.018	0.084	0.004
P37231	Peroxisome proliferator-activated receptor gamma	0.114	0.342	0.372	0.178	0.142
Q9R0C9	Sigma non-opioid intracellular receptor 1	0.114	0.114	0.138	0.102	0.156
Q14416	Metabotropic glutamate receptor 2	0.112	0.278	0.142	0.13	0.034
P08235	Mineralocorticoid receptor	0.11	0.204	0.512	0.222	0.09
P50750	Cyclin-dependent kinase 9	0.11	0.194	0.236	0.17	0.112
Q13224	Glutamate receptor ionotropic, NMDA 2B	0.11	0.23	0.158	0.12	0.11
O75907	Diacylglycerol O-acyltransferase 1	0.106	0.254	0.058	0.102	0.022
P21451	Endothelin B receptor	0.106	0.17	0.074	0.104	0.048
P25100	Alpha-1D adrenergic receptor	0.106	0.176	0.1	0.12	0.054
P27815	cAMP-specific 3',5'-cyclic phosphodiesterase 4A	0.106	0.146	0.026	0.174	0.03
P28564	5-hydroxytryptamine receptor 1B	0.106	0.108	0.102	0.132	0.032
P56658	Adenosine deaminase	0.106	0.162	0.108	0.064	0.048
Q13093	Platelet-activating factor acetylhydrolase	0.106	0.042	0.144	0.024	0.002
P19020	D(3) dopamine receptor	0.104	0.11	0.082	0.04	0.054
P28221	5-hydroxytryptamine receptor 1D	0.104	0.126	0.068	0.138	0.046
Q02156	Protein kinase C epsilon type	0.104	0.126	0.312	0.162	0.04
Q05655	Protein kinase C delta type	0.104	0.158	0.518	0.066	0.05
Q15761	Neuropeptide Y receptor type 5	0.104	0.096	0.022	0.054	0.006
Q28156	cGMP-specific 3',5'-cyclic phosphodiesterase	0.104	0.136	0.114	0.09	0.048
Q92731	Estrogen receptor beta	0.104	0.16	0.486	0.26	0.354
Q9GZT9	Egl nine homolog 1	0.104	0.248	0.176	0.158	0.128
P55263	Adenosine kinase	0.102	0.056	0.008	0.008	0
Q07869	Peroxisome proliferator-activated receptor alpha	0.102	0.098	0.194	0.184	0.092
Q62758	5-hydroxytryptamine receptor 4	0.102	0.162	0.086	0.08	0.032
P05362	Intercellular adhesion molecule 1	0.1	0.138	0.202	0.146	0
P45983	Mitogen-activated protein kinase 8	0.1	0.17	0.04	0.076	0.014
P49841	Glycogen synthase kinase-3 beta	0.098	0.274	0.134	0.156	0.042
Q00960	Glutamate receptor ionotropic, NMDA 2B	0.098	0.12	0.082	0.18	0.096
Q9JI35	Histamine H3 receptor	0.098	0.226	0.066	0.288	0.102
